filename,width,height,class,xmin,ymin,xmax,ymax
1645949871-2190564_C_jpg.rf.680f4d384293d9bf40e859770cc6a259.jpg,640,640,C,134,188,521,567
20201030_115215_001_jpg.rf.f69a1b37ed0db39a14feb6b983a541a5.jpg,640,640,S,32,271,325,535
1645950001-2427368_P_jpg.rf.0e4a9857a54216236dce75f63808627f.jpg,640,640,Q,93,204,319,552
1645713396-445669_jpg.rf.9176ea06da4d186a1e6202e1c4ac3505.jpg,640,640,E,0,2,546,580
1645714527-6395915_jpg.rf.de5f0d92e4d3814b773f6f006acb48b0.jpg,640,640,U,0,87,302,614
IMG_20220221_172345_jpg.rf.b84b6ef43ea276eaae21a9b0b08fdc46.jpg,640,640,T,7,125,357,634
IMG_20220221_172340_jpg.rf.141d75f587ee9a8bfdfa05db6865e577.jpg,640,640,T,0,151,344,592
1645946925-8716288_Q_jpg.rf.74c844d5d70334d01fcebaf56a4ceea0.jpg,640,640,Q,54,99,310,498
IMG_20220221_172409_jpg.rf.7869bb57bb329313b636a3a09dda75f3.jpg,640,640,U,279,67,632,567
IMG_20220221_171444_jpg.rf.b7a5420f4d1008629b9b388139fdd8cf.jpg,640,640,E,36,3,543,522
IMG_20220221_171821_jpg.rf.92dc4b394be15c3f2f983b0bf259530f.jpg,640,640,H,86,201,609,621
IMG_20220221_172324_jpg.rf.8bdab6de11dbb064b1c51f1ae8fd8c88.jpg,640,640,S,0,200,358,541
IMG_20220221_174928_jpg.rf.799cc12687535f145a56b3f083374a04.jpg,640,640,B,86,126,455,542
1645949995-4724991_P_jpg.rf.0b55a45c8ef55a0cfc47083823618e81.jpg,640,640,P,245,103,585,511
IMG_20220221_172609_jpg.rf.b47e0dcefef69d944ef4519714b3c998.jpg,640,640,Y,43,162,588,564
1645950000-2856388_C_jpg.rf.1bda7d34c25f3020001898fdb473d441.jpg,640,640,Q,84,86,327,424
IMG_20220221_172321_jpg.rf.be1295e66bfca6cf109d9e25b90dff92.jpg,640,640,S,216,207,571,571
IMG_20220221_171420_jpg.rf.c529077a1078c983267305de06a21a7e.jpg,640,640,D,18,55,640,640
1645950015-0753615_G_jpg.rf.375a92d07cfd3fc5b7e5a65d22d279df.jpg,640,640,S,120,224,450,498
IMG_20220221_102545_jpg.rf.90ffe050b783ede395368dff5710f5cb.jpg,640,640,F,124,21,463,523
1645946950-1533844_L_jpg.rf.a42d94182c6c064a75c228da8f0caff3.jpg,640,640,R,309,160,615,607
1645950568-5724008_Y_jpg.rf.63055435b0bdec244cfa93b478ed2f52.jpg,640,640,Y,93,304,502,565
1645949931-6066246_D_jpg.rf.e954ece2ea15f1a8bead7ff7bab43ad5.jpg,640,640,H,84,198,557,464
IMG_20220221_171845_jpg.rf.d098d356b93e072d40c6b3140be0496d.jpg,640,640,I,94,30,628,452
IMG_20220221_175759_jpg.rf.97d1b22e7ba3eeeb521e7f9d51ff01c5.jpg,640,640,T,93,19,543,612
IMG_20220221_174238_jpg.rf.b8a9b23b2ade52adf62b5126c817f009.jpg,640,640,Y,40,148,561,599
IMG_20230616_160651_jpg.rf.d2473a28619b2c9c93d0c742a28e6928.jpg,640,640,J,38,121,500,426
IMG_20230616_162314_jpg.rf.e73409fa743b58b2187b5ff27eb33eda.jpg,640,640,Z,319,310,499,472
